Table Number,Move,Clues,Mystery Word,Guess,Mode,Speed,Language,End,Success
348838927,1958,"plastique, Sandale, Piqûre, Gorgone, Urticante, urticante",Méduse,Méduse,Normal mode,No time limit • with friends only,Français,Infinite,1
348838927,2123,"Mari, Etoilé, Immensité, Anges, Gratte, Dechavanne",Ciel,Ciel,Normal mode,No time limit • with friends only,Français,Infinite,1
349338828,4211,"Wheel, Automobile, Volkswagen, Prius, Volvo",Car,Car,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
349338828,4286,"Beach, Botany, Hasslehoff, Byron, Byron",Bay,Bay,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
358827793,1644,"habit, mariée, Alezan, Fourreau",Robe,Robe,Friendly mode,No time limit • with friends only,Français,Infinite,1
358827793,1675,"Organe, Auditif, pointues, elfes",Oreille,Oreilles,Friendly mode,No time limit • with friends only,Français,Infinite,0
358827793,1686,"Kingkong, cheeath, primate, planete",Singe,singe,Friendly mode,No time limit • with friends only,Français,Infinite,0
358827793,1914,"BNF, Alexandrie, Emprunt, Bouquins",Bibliothèque,Livre,Friendly mode,No time limit • with friends only,Français,Infinite,0
358827793,2046,"ca, repart, EtCaRepart, DieuRomain",Mars,Mars,Friendly mode,No time limit • with friends only,Français,Infinite,1
358827793,2385,"production, bovidée, Candia, pasteurisé",Lait,lait,Friendly mode,No time limit • with friends only,Français,Infinite,0
358827793,2566,"maillons, accrochés, Nebulaire, String",Chaîne,Chaine,Friendly mode,No time limit • with friends only,Français,Infinite,0
363390977,1288,"wrist, spectate, Rolex, Timex, Timex",Watch,Watch,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
363390977,1405,"Bock, Grolsch, Butter, Michelob, Busch",Beer,Beer,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
363390977,1882,"Astronomy, Planets, Samsung, Andromeda, Andromeda",Galaxy,Galaxy,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
363390977,1914,"Egypt, Giza, Amway, Scheme, scheme",Pyramid,Pyramid,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
363390977,1963,"Bootswittha, Mink, Pelt, PETA, PETA",Fur,Fur,Normal mode,Turn-based • 1 move per 2 days,English,Infinite,1
366888891,1160,"Mickey, Houdini, Copperfield, David, copperfield, David",Magician,magician,Friendly mode,No time limit • with friends only,English,Infinite,0
374138794,1142,"pepperoni, margherita, italian, dominos",Pizza,pizza,Friendly mode,No time limit • with friends only,English,Infinite,0
374138794,1399,"daniels, Soprendo, Penn, Teller",Magician,magician,Friendly mode,No time limit • with friends only,English,Infinite,0
381777020,1075,"Danjou, Partridge, Bosc, Bosc",Pear,Pear,Friendly mode,No time limit • with friends only,English,Infinite,1
387173467,1491,"Morse, Columbo, Sherlock, Poirot, Pikachu, Pikachu",Detective,Inspector,Normal mode,Turn-based • 1 move per day,English,Infinite,0
387173467,1625,"Copenhagen, Triton, Fishywhore, Charm, BloopbloopIamunderthewater, Barnacleboy",Mermaid,Mermaid,Normal mode,Turn-based • 1 move per day,English,Infinite,1
393621459,1003,"Royer, Chouine, Mondiale, épais, épais",Guerre,terre,Friendly mode,No time limit • with friends only,Français,Infinite,0
393621459,1079,"planeur, Mig, Airbus, stewart, crash",Avion,Avion,Friendly mode,No time limit • with friends only,Français,Infinite,1
393621459,1095,"Bushido, tatami, Ceinture, kid, Kid",Karaté,Judo,Friendly mode,No time limit • with friends only,Français,Infinite,0
393621459,1104,"toucan, Répéteur, Tropico, Auxerre, ara",Perroquet,perroquet,Friendly mode,No time limit • with friends only,Français,Infinite,0
393621459,928,"Charles, Cheveux, ponce, manta, Manta",Raie,Raie,Friendly mode,No time limit • with friends only,Français,Infinite,1
402108912,1596,"Anime, Backwards, naruto, Dragonball, japanese, Gunnm",Manga,cartoon,Normal mode,Turn-based • 1 move per day,English,Infinite,0
402108912,880,"Jumeira, Icean, seaweed, Waikīkī, Miami, Surf",Beach,Beach,Normal mode,Turn-based • 1 move per day,English,Infinite,1
405054016,1400,"Hot, June, July, July",Summer,Summer,Friendly mode,No time limit • with friends only,English,Infinite,1
